Title,Artist,Featuring,Featured_Artist
Budapest,George Ezra,0,George Ezra
Heartbeat Song,Kelly Clarkson,0,Kelly Clarkson
Ghost,Ella Henderson,0,Ella Henderson
Here,Alessia Cara,0,Alessia Cara
Waves,Mr Probz,0,Mr Probz
El Perdón,Nicky Jam and Enrique Iglesias,0,Nicky Jam and Enrique Iglesias
She Knows,Ne-Yo ,1, Juicy J
Night Changes,One Direction,0,One Direction
Back to Back,Drake,0,Drake
How Deep Is Your Love,Calvin Harris and Disciples,0,Calvin Harris and Disciples
Love Yourself,Justin Bieber,0,Justin Bieber
Sorry,Justin Bieber,0,Justin Bieber
One Dance,Drake ,1, Wizkid and Kyla
Work,Rihanna ,1, Drake
Stressed Out,Twenty One Pilots,0,Twenty One Pilots
Panda,Desiigner,0,Desiigner
Don't Let Me Down,The Chainsmokers ,1, Daya
Can't Stop the Feeling!,Justin Timberlake,0,Justin Timberlake
Closer,The Chainsmokers ,1, Halsey
Cheap Thrills,Sia ,1, Sean Paul
7 Years,Lukas Graham,0,Lukas Graham
Needed Me,Rihanna,0,Rihanna
My House,Flo Rida,0,Flo Rida
I Took a Pill in Ibiza,Mike Posner,0,Mike Posner
Work from Home,Fifth Harmony ,1, Ty Dolla $ign
This Is What You Came For,Calvin Harris ,1, Rihanna
Cake by the Ocean,DNCE,0,DNCE
"Me, Myself & I",G-Eazy and Bebe Rexha,0,G-Eazy and Bebe Rexha
Ride,Twenty One Pilots,0,Twenty One Pilots
Heathens,Twenty One Pilots,0,Twenty One Pilots
Pillowtalk,Zayn,0,Zayn
Cold Water,Major Lazer ,1, Justin Bieber and MØ
Send My Love (To Your New Lover),Adele,0,Adele
Roses,The Chainsmokers ,1, Rozes
Treat You Better,Shawn Mendes,0,Shawn Mendes
Too Good,Drake ,1, Rihanna
Low Life,Future ,1, The Weeknd
Just Like Fire,Pink,0,Pink
Broccoli,DRAM ,1, Lil Yachty
Don't,Bryson Tiller,0,Bryson Tiller
Dangerous Woman,Ariana Grande,0,Ariana Grande
Jumpman,Drake and Future,0,Drake and Future
"I Hate U, I Love U",Gnash ,1, Olivia O'Brien
Same Old Love,Selena Gomez,0,Selena Gomez
Controlla,Drake,0,Drake
One Call Away,Charlie Puth,0,Charlie Puth
Let It Go,James Bay,0,James Bay
No,Meghan Trainor,0,Meghan Trainor
Never Forget You,Zara Larsson and MNEK,0,Zara Larsson and MNEK
Let Me Love You,DJ Snake ,1, Justin Bieber
Don't Mind,Kent Jones,0,Kent Jones
H.O.L.Y.,Florida Georgia Line,0,Florida Georgia Line
We Don't Talk Anymore,Charlie Puth ,1, Selena Gomez
Into You,Ariana Grande,0,Ariana Grande
Gold,Kiiara,0,Kiiara
Exchange,Bryson Tiller,0,Bryson Tiller
Oui,Jeremih,0,Jeremih
Hands to Myself,Selena Gomez,0,Selena Gomez
2 Phones,Kevin Gates,0,Kevin Gates
Starboy,The Weeknd ,1, Daft Punk
For Free,DJ Khaled ,1, Drake
Never Be Like You,Flume ,1, Kai
In the Night,The Weeknd,0,The Weeknd
Me Too,Meghan Trainor,0,Meghan Trainor
Die a Happy Man,Thomas Rhett,0,Thomas Rhett
White Iverson,Post Malone,0,Post Malone
Close,Nick Jonas ,1, Tove Lo
Unsteady,X Ambassadors,0,X Ambassadors
Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla $ign ",1, X Ambassadors
Down in the DM,Yo Gotti ,1, Nicki Minaj
Luv,Tory Lanez,0,Tory Lanez
Sorry,Beyoncé,0,Beyoncé
Hymn for the Weekend,Coldplay,0,Coldplay
Say It,Tory Lanez,0,Tory Lanez
Antidote,Travis Scott,0,Travis Scott
Lost Boy,Ruth B,0,Ruth B
Side to Side,Ariana Grande ,1, Nicki Minaj
"Sit Still, Look Pretty",Daya,0,Daya
Middle,DJ Snake ,1, Bipolar Sunshine
On My Mind,Ellie Goulding,0,Ellie Goulding
Pop Style,Drake ,1, The Throne
When We Were Young,Adele,0,Adele
Hide Away,Daya,0,Daya
I Know What You Did Last Summer,Shawn Mendes and Camila Cabello,0,Shawn Mendes and Camila Cabello
All the Way Up,"Fat Joe, Remy Ma and Jay-Z ",1, French Montana and Infared
Back to Sleep,Chris Brown,0,Chris Brown
No Limit,Usher ,1, Young Thug
Cut It,O.T. Genasis ,1, Young Dolph
Really Really,Kevin Gates,0,Kevin Gates
All In My Head (Flex),Fifth Harmony ,1, Fetty Wap
Starving,Hailee Steinfeld and Grey ,1, Zedd
Adventure of a Lifetime,Coldplay,0,Coldplay
Humble and Kind,Tim McGraw,0,Tim McGraw
Wicked,Future,0,Future
Tiimmy Turner,Desiigner,0,Desiigner
Perfect,One Direction,0,One Direction
Shape of You,Ed Sheeran,0,Ed Sheeran
Despacito (Remix),Luis Fonsi and Daddy Yankee ,1, Justin Bieber
That's What I Like,Bruno Mars,0,Bruno Mars
Humble,Kendrick Lamar,0,Kendrick Lamar
Something Just Like This,The Chainsmokers and Coldplay,0,The Chainsmokers and Coldplay
Bad and Boujee,Migos ,1, Lil Uzi Vert
Body Like a Back Road,Sam Hunt,0,Sam Hunt
Believer,Imagine Dragons,0,Imagine Dragons
Congratulations,Post Malone ,1, Quavo
Say You Won't Let Go,James Arthur,0,James Arthur
I'm the One,DJ Khaled ,1," Justin Bieber, Quavo, Chance the Rapper and Lil Wayne"
XO Tour Llif3,Lil Uzi Vert,0,Lil Uzi Vert
Mask Off,Future,0,Future
Unforgettable,French Montana ,1, Swae Lee
24K Magic,Bruno Mars,0,Bruno Mars
Stay,Zedd and Alessia Cara,0,Zedd and Alessia Cara
Wild Thoughts,DJ Khaled ,1, Rihanna and Bryson Tiller
Black Beatles,Rae Sremmurd ,1, Gucci Mane
Location,Khalid,0,Khalid
Attention,Charlie Puth,0,Charlie Puth
There's Nothing Holdin' Me Back,Shawn Mendes,0,Shawn Mendes
Bodak Yellow,Cardi B,0,Cardi B
Redbone,Childish Gambino,0,Childish Gambino
I Don't Wanna Live Forever,Zayn and Taylor Swift,0,Zayn and Taylor Swift
It Ain't Me,Kygo and Selena Gomez,0,Kygo and Selena Gomez
iSpy,Kyle ,1, Lil Yachty
Issues,Julia Michaels,0,Julia Michaels
Scars to Your Beautiful,Alessia Cara,0,Alessia Cara
1-800-273-8255,Logic ,1, Alessia Cara and Khalid
Slow Hands,Niall Horan,0,Niall Horan
Love on the Brain,Rihanna,0,Rihanna
I Feel It Coming,The Weeknd ,1, Daft Punk
Bounce Back,Big Sean,0,Big Sean
Strip That Down,Liam Payne ,1, Quavo
Fake Love,Drake,0,Drake
Don't Wanna Know,Maroon 5 ,1, Kendrick Lamar
Look What You Made Me Do,Taylor Swift,0,Taylor Swift
Castle on the Hill,Ed Sheeran,0,Ed Sheeran
Bad Things,Machine Gun Kelly and Camila Cabello,0,Machine Gun Kelly and Camila Cabello
Paris,The Chainsmokers,0,The Chainsmokers
Rockabye,Clean Bandit ,1, Sean Paul and Anne-Marie
Feel It Still,Portugal. The Man,0,Portugal. The Man
Sorry Not Sorry,Demi Lovato,0,Demi Lovato
Bank Account,21 Savage,0,21 Savage
Mi Gente,J Balvin and Willy William ,1, Beyoncé
Thunder,Imagine Dragons,0,Imagine Dragons
T-Shirt,Migos,0,Migos
Rake It Up,Yo Gotti ,1, Nicki Minaj
Mercy,Shawn Mendes,0,Shawn Mendes
Tunnel Vision,Kodak Black,0,Kodak Black
Rockstar,Post Malone ,1, 21 Savage
In Case You Didn't Know,Brett Young,0,Brett Young
Now or Never,Halsey,0,Halsey
Caroline,Aminé,0,Aminé
Rolex,Ayo & Teo,0,Ayo & Teo
DNA,Kendrick Lamar,0,Kendrick Lamar
Juju on That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,0,Zay Hilfigerrr & Zayion McCall
Swang,Rae Sremmurd,0,Rae Sremmurd
Passionfruit,Drake,0,Drake
Loyalty,Kendrick Lamar ,1, Rihanna
Praying,Kesha,0,Kesha
Goosebumps,Travis Scott,0,Travis Scott
Cold,Maroon 5 ,1, Future
Slide,Calvin Harris ,1, Frank Ocean and Migos
What Ifs,Kane Brown ,1, Lauren Alaina
Chained to the Rhythm,Katy Perry ,1, Skip Marley
Feels,Calvin Harris ,1," Pharrell Williams, Katy Perry and Big Sean"
All Time Low,Jon Bellion,0,Jon Bellion
Hurricane,Luke Combs,0,Luke Combs
Too Good at Goodbyes,Sam Smith,0,Sam Smith
Young Dumb & Broke,Khalid,0,Khalid
Magnolia,Playboi Carti,0,Playboi Carti
Love Galore,SZA ,1, Travis Scott
Drowning,A Boogie wit da Hoodie ,1, Kodak Black
Both,Gucci Mane ,1, Drake
What About Us,Pink,0,Pink
Swalla,Jason Derulo ,1, Nicki Minaj and Ty Dolla Sign
Slippery,Migos ,1, Gucci Mane
Sign of the Times,Harry Styles,0,Harry Styles
Water Under the Bridge,Adele,0,Adele
Malibu,Miley Cyrus,0,Miley Cyrus
Down,Marian Hill,0,Marian Hill
No Promises,Cheat Codes ,1, Demi Lovato
I Get the Bag,Gucci Mane ,1, Migos
Small Town Boy,Dustin Lynch,0,Dustin Lynch
Everyday We Lit,YFN Lucci ,1, PnB Rock
Havana,Camila Cabello ,1, Young Thug
What Lovers Do,Maroon 5 ,1, SZA
Do Re Mi,Blackbear,0,Blackbear
Look at Me!,XXXTentacion,0,XXXTentacion
The Fighter,Keith Urban ,1, Carrie Underwood
God's Plan,Drake,0,Drake
Perfect,Ed Sheeran,0,Ed Sheeran
Meant to Be,Bebe Rexha ,1, Florida Georgia Line
Psycho,Post Malone ,1, Ty Dolla Sign
I Like It,"Cardi B, Bad Bunny and J Balvin",0,"Cardi B, Bad Bunny and J Balvin"
The Middle,"Zedd, Maren Morris and Grey",0,"Zedd, Maren Morris and Grey"
In My Feelings,Drake,0,Drake
Girls Like You,Maroon 5 ,1, Cardi B
Nice for What,Drake,0,Drake
Lucid Dreams,Juice Wrld,0,Juice Wrld
Better Now,Post Malone,0,Post Malone
Finesse,Bruno Mars ,1, Cardi B
Boo'd Up,Ella Mai,0,Ella Mai
New Rules,Dua Lipa,0,Dua Lipa
Sad!,XXXTentacion,0,XXXTentacion
Never Be the Same,Camila Cabello,0,Camila Cabello
Love Lies,Khalid and Normani,0,Khalid and Normani
No Tears Left to Cry,Ariana Grande,0,Ariana Grande
Mine,Bazzi,0,Bazzi
Look Alive,BlocBoy JB ,1, Drake
Delicate,Taylor Swift,0,Taylor Swift
Yes Indeed,Lil Baby and Drake,0,Lil Baby and Drake
Friends,Marshmello and Anne-Marie,0,Marshmello and Anne-Marie
Bad at Love,Halsey,0,Halsey
Taste,Tyga ,1, Offset
Let You Down,NF,0,NF
No Limit,G-Eazy ,1, ASAP Rocky and Cardi B
Fefe,6ix9ine ,1, Nicki Minaj and Murda Beatz
Tequila,Dan + Shay,0,Dan + Shay
MotorSport,"Migos, Nicki Minaj and Cardi B",0,"Migos, Nicki Minaj and Cardi B"
I Like Me Better,Lauv,0,Lauv
Youngblood,5 Seconds of Summer,0,5 Seconds of Summer
Whatever It Takes,Imagine Dragons,0,Imagine Dragons
Ric Flair Drip,Offset and Metro Boomin,0,Offset and Metro Boomin
I Fall Apart,Post Malone,0,Post Malone
Pray for Me,The Weeknd and Kendrick Lamar,0,The Weeknd and Kendrick Lamar
Back to You,Selena Gomez,0,Selena Gomez
Sicko Mode,Travis Scott,0,Travis Scott
Walk It Talk It,Migos ,1, Drake
Gucci Gang,Lil Pump,0,Lil Pump
Him & I,G-Eazy and Halsey,0,G-Eazy and Halsey
In My Blood,Shawn Mendes,0,Shawn Mendes
All the Stars,Kendrick Lamar and SZA,0,Kendrick Lamar and SZA
Stir Fry,Migos,0,Migos
Love,Kendrick Lamar ,1, Zacari
This Is America,Childish Gambino,0,Childish Gambino
Nonstop,Drake,0,Drake
Heaven,Kane Brown,0,Kane Brown
Freaky Friday,Lil Dicky ,1, Chris Brown
Gummo,6ix9ine,0,6ix9ine
Plug Walk,Rich the Kid,0,Rich the Kid
Wait,Maroon 5,0,Maroon 5
Be Careful,Cardi B,0,Cardi B
Wolves,Selena Gomez and Marshmello,0,Selena Gomez and Marshmello
Bartier Cardi,Cardi B ,1, 21 Savage
God Is a Woman,Ariana Grande,0,Ariana Grande
Big Bank,YG ,1," 2 Chainz, Nicki Minaj and Big Sean"
How Long,Charlie Puth,0,Charlie Puth
Lights Down Low,Max ,1, Gnash
One Kiss,Calvin Harris and Dua Lipa,0,Calvin Harris and Dua Lipa
Natural,Imagine Dragons,0,Imagine Dragons
You Make It Easy,Jason Aldean,0,Jason Aldean
No Brainer,DJ Khaled ,1," Justin Bieber, Chance the Rapper and Quavo"
Plain Jane,ASAP Ferg ,1, Nicki Minaj
Sky Walker,Miguel ,1, Travis Scott
Marry Me,Thomas Rhett,0,Thomas Rhett
Eastside,"Benny Blanco, Halsey and Khalid",0,"Benny Blanco, Halsey and Khalid"
Call Out My Name,The Weeknd,0,The Weeknd
King's Dead,"Jay Rock, Kendrick Lamar, Future and James Blake",0,"Jay Rock, Kendrick Lamar, Future and James Blake"
Happier,Marshmello and Bastille,0,Marshmello and Bastille
Te Boté,"Nio García, Darell and Casper Mágico ",1," Bad Bunny, Nicky Jam and Ozuna"
Simple,Florida Georgia Line,0,Florida Georgia Line
Lemon,N.E.R.D and Rihanna,0,N.E.R.D and Rihanna
Say Something,Justin Timberlake ,1, Chris Stapleton
I'm Upset,Drake,0,Drake
Get Along,Kenny Chesney,0,Kenny Chesney
Moonlight,XXXTentacion,0,XXXTentacion
X,Nicky Jam and J Balvin,0,Nicky Jam and J Balvin
Outside Today,YoungBoy Never Broke Again,0,YoungBoy Never Broke Again
Trip,Ella Mai,0,Ella Mai
Dura,Daddy Yankee,0,Daddy Yankee
Changes,XXXTentacion,0,XXXTentacion
Mercy,Brett Young,0,Brett Young
One Number Away,Luke Combs,0,Luke Combs
Powerglide,Rae Sremmurd ,1, Juicy J
IDGAF,Dua Lipa,0,Dua Lipa
Old Town Road,Lil Nas X ,1, Billy Ray Cyrus
Sunflower,Post Malone and Swae Lee,0,Post Malone and Swae Lee
Without Me,Halsey,0,Halsey
Bad Guy,Billie Eilish,0,Billie Eilish
Wow,Post Malone,0,Post Malone
7 Rings,Ariana Grande,0,Ariana Grande
Talk,Khalid,0,Khalid
Sucker,Jonas Brothers,0,Jonas Brothers
High Hopes,Panic! at the Disco,0,Panic! at the Disco
"Thank U, Next",Ariana Grande,0,Ariana Grande
Truth Hurts,Lizzo,0,Lizzo
Dancing with a Stranger,Sam Smith and Normani,0,Sam Smith and Normani
Señorita,Shawn Mendes and Camila Cabello,0,Shawn Mendes and Camila Cabello
I Don't Care,Ed Sheeran and Justin Bieber,0,Ed Sheeran and Justin Bieber
Going Bad,Meek Mill ,1, Drake
Shallow,Lady Gaga and Bradley Cooper,0,Lady Gaga and Bradley Cooper
Better,Khalid,0,Khalid
No Guidance,Chris Brown ,1, Drake
Sweet but Psycho,Ava Max,0,Ava Max
Suge,DaBaby,0,DaBaby
Middle Child,J. Cole,0,J. Cole
Drip Too Hard,Lil Baby and Gunna,0,Lil Baby and Gunna
Someone You Loved,Lewis Capaldi,0,Lewis Capaldi
Ransom,Lil Tecca,0,Lil Tecca
If I Can't Have You,Shawn Mendes,0,Shawn Mendes
Goodbyes,Post Malone ,1, Young Thug
Zeze,Kodak Black ,1, Travis Scott and Offset
Money in the Grave,Drake ,1, Rick Ross
Speechless,Dan + Shay,0,Dan + Shay
"Break Up with Your Girlfriend, I'm Bored",Ariana Grande,0,Ariana Grande
Please Me,Cardi B and Bruno Mars,0,Cardi B and Bruno Mars
Money,Cardi B,0,Cardi B
You Need to Calm Down,Taylor Swift,0,Taylor Swift
Panini,Lil Nas X,0,Lil Nas X
Look Back at It,A Boogie wit da Hoodie,0,A Boogie wit da Hoodie
A Lot,21 Savage,0,21 Savage
Me!,Taylor Swift ,1, Brendon Urie
Mia,Bad Bunny ,1, Drake
Pop Out,Polo G ,1, Lil Tjay
Beautiful Crazy,Luke Combs,0,Luke Combs
Thotiana,Blueface,0,Blueface
Mo Bamba,Sheck Wes,0,Sheck Wes
Beautiful People,Ed Sheeran ,1, Khalid
Wake Up in the Sky,"Gucci Mane, Bruno Mars and Kodak Black",0,"Gucci Mane, Bruno Mars and Kodak Black"
Whiskey Glasses,Morgan Wallen,0,Morgan Wallen
God's Country,Blake Shelton,0,Blake Shelton
Be Alright,Dean Lewis,0,Dean Lewis
Pure Water,Mustard and Migos,0,Mustard and Migos
The Git Up,Blanco Brown,0,Blanco Brown
Taki Taki,DJ Snake ,1," Selena Gomez, Ozuna and Cardi B"
Close to Me,Ellie Goulding and Diplo ,1, Swae Lee
Envy Me,Calboy,0,Calboy
You Say,Lauren Daigle,0,Lauren Daigle
"Hey Look Ma, I Made It",Panic! at the Disco,0,Panic! at the Disco
Circles,Post Malone,0,Post Malone
Beer Never Broke My Heart,Luke Combs,0,Luke Combs
The London,"Young Thug, J. Cole and Travis Scott",0,"Young Thug, J. Cole and Travis Scott"
Con Calma,Daddy Yankee and Katy Perry ,1, Snow
Murder on My Mind,YNW Melly,0,YNW Melly
When the Party's Over,Billie Eilish,0,Billie Eilish
Act Up,City Girls,0,City Girls
Trampoline,Shaed,0,Shaed
Leave Me Alone,Flipp Dinero,0,Flipp Dinero
Breathin,Ariana Grande,0,Ariana Grande
Bury a Friend,Billie Eilish,0,Billie Eilish
Close Friends,Lil Baby,0,Lil Baby
Baby Shark,Pinkfong,0,Pinkfong
My Type,Saweetie,0,Saweetie
Worth It,YK Osiris,0,YK Osiris
Only Human,Jonas Brothers,0,Jonas Brothers
Knockin' Boots,Luke Bryan,0,Luke Bryan
Rumor,Lee Brice,0,Lee Brice
Swervin,A Boogie wit da Hoodie ,1, 6ix9ine
How Do You Sleep?,Sam Smith,0,Sam Smith
Baby,Lil Baby and DaBaby,0,Lil Baby and DaBaby
Look What God Gave Her,Thomas Rhett,0,Thomas Rhett
Good as You,Kane Brown,0,Kane Brown
Clout,Offset ,1, Cardi B
One Thing Right,Marshmello and Kane Brown,0,Marshmello and Kane Brown
Cash Shit,Megan Thee Stallion ,1, DaBaby
Shotta Flow,NLE Choppa,0,NLE Choppa
Hot Girl Summer,Megan Thee Stallion ,1, Nicki Minaj and Ty Dolla Sign
Talk You Out of It,Florida Georgia Line,0,Florida Georgia Line
Beautiful,Bazzi ,1, Camila Cabello
Eyes on You,Chase Rice,0,Chase Rice
All to Myself,Dan + Shay,0,Dan + Shay
Boyfriend,Ariana Grande and Social House,0,Ariana Grande and Social House
Walk Me Home,Pink,0,Pink
Robbery,Juice Wrld,0,Juice Wrld
Blinding Lights,The Weeknd,0,The Weeknd
The Box,Roddy Ricch,0,Roddy Ricch
Don't Start Now,Dua Lipa,0,Dua Lipa
Rockstar,DaBaby ,1, Roddy Ricch
Adore You,Harry Styles,0,Harry Styles
Life Is Good,Future ,1, Drake
Memories,Maroon 5,0,Maroon 5
The Bones,Maren Morris,0,Maren Morris
Say So,Doja Cat,0,Doja Cat
I Hope,Gabby Barrett ,1, Charlie Puth
Whats Poppin,Jack Harlow ,1," DaBaby, Tory Lanez and Lil Wayne"
Dance Monkey,Tones and I,0,Tones and I
Savage,Megan Thee Stallion ,1, Beyoncé
Roxanne,Arizona Zervas,0,Arizona Zervas
Intentions,Justin Bieber ,1, Quavo
Everything I Wanted,Billie Eilish,0,Billie Eilish
Roses (Imanbek Remix),Saint Jhn,0,Saint Jhn
Watermelon Sugar,Harry Styles,0,Harry Styles
Before You Go,Lewis Capaldi,0,Lewis Capaldi
Falling,Trevor Daniel,0,Trevor Daniel
"10,000 Hours",Dan + Shay and Justin Bieber,0,Dan + Shay and Justin Bieber
WAP,Cardi B ,1, Megan Thee Stallion
Ballin',Mustard ,1, Roddy Ricch
Hot Girl Bummer,Blackbear,0,Blackbear
Blueberry Faygo,Lil Mosey,0,Lil Mosey
Heartless,The Weeknd,0,The Weeknd
Bop,DaBaby,0,DaBaby
Lose You to Love Me,Selena Gomez,0,Selena Gomez
Good as Hell,Lizzo,0,Lizzo
Toosie Slide,Drake,0,Drake
Break My Heart,Dua Lipa,0,Dua Lipa
Chasin' You,Morgan Wallen,0,Morgan Wallen
Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo,0,Jawsh 685 and Jason Derulo
My Oh My,Camila Cabello ,1, DaBaby
Dynamite,BTS,0,BTS
Go Crazy,Chris Brown and Young Thug,0,Chris Brown and Young Thug
High Fashion,Roddy Ricch ,1, Mustard
Laugh Now Cry Later,Drake ,1, Lil Durk
Woah,Lil Baby,0,Lil Baby
Death Bed,Powfu ,1, Beabadoobee
Highest in the Room,Travis Scott,0,Travis Scott
Mood,24kGoldn ,1, Iann Dior
Rain on Me,Lady Gaga and Ariana Grande,0,Lady Gaga and Ariana Grande
For the Night,Pop Smoke ,1, Lil Baby and DaBaby
Ritmo (Bad Boys for Life),Black Eyed Peas and J Balvin,0,Black Eyed Peas and J Balvin
Heart on Ice,Rod Wave,0,Rod Wave
Nobody but You,Blake Shelton and Gwen Stefani,0,Blake Shelton and Gwen Stefani
Come & Go,Juice Wrld and Marshmello,0,Juice Wrld and Marshmello
If the World Was Ending,JP Saxe ,1, Julia Michaels
We Paid,Lil Baby and 42 Dugg,0,Lil Baby and 42 Dugg
Yummy,Justin Bieber,0,Justin Bieber
One Man Band,Old Dominion,0,Old Dominion
Got What I Got,Jason Aldean,0,Jason Aldean
Sunday Best,Surfaces,0,Surfaces
Godzilla,Eminem ,1, Juice Wrld
Bandit,Juice Wrld and YoungBoy Never Broke Again,0,Juice Wrld and YoungBoy Never Broke Again
Party Girl,StaySolidRocky,0,StaySolidRocky
Die from a Broken Heart,Maddie & Tae,0,Maddie & Tae
Popstar,DJ Khaled ,1, Drake
All I Want for Christmas Is You,Mariah Carey,0,Mariah Carey
One of Them Girls,Lee Brice,0,Lee Brice
Hard to Forget,Sam Hunt,0,Sam Hunt
One Margarita,Luke Bryan,0,Luke Bryan
Hot,Young Thug ,1, Gunna
I Hope You're Happy Now,Carly Pearce and Lee Brice,0,Carly Pearce and Lee Brice
Emotionally Scarred,Lil Baby,0,Lil Baby
Suicidal,YNW Melly ,1, Juice Wrld
The Bigger Picture,Lil Baby,0,Lil Baby
The Woo,Pop Smoke ,1, 50 Cent and Roddy Ricch
Sum 2 Prove,Lil Baby,0,Lil Baby
Stuck with U,Ariana Grande and Justin Bieber,0,Ariana Grande and Justin Bieber
Mood Swings,Pop Smoke ,1, Lil Tjay
You Should Be Sad,Halsey,0,Halsey
Dior,Pop Smoke,0,Pop Smoke
Supalonely,Benee ,1, Gus Dapperton
Even Though I'm Leaving,Luke Combs,0,Luke Combs
The Scotts,"The Scotts, Travis Scott and Kid Cudi",0,"The Scotts, Travis Scott and Kid Cudi"
Juicy,Doja Cat and Tyga,0,Doja Cat and Tyga
Be Like That,"Kane Brown, Swae Lee and Khalid",0,"Kane Brown, Swae Lee and Khalid"
Homesick,Kane Brown,0,Kane Brown
Rags2Riches,Rod Wave ,1, ATR Son Son
Bluebird,Miranda Lambert,0,Miranda Lambert
Wishing Well,Juice Wrld,0,Juice Wrld
Does to Me,Luke Combs ,1, Eric Church
Pussy Fairy (OTW),Jhené Aiko,0,Jhené Aiko
ILY (I Love You Baby),Surf Mesa ,1, Emilee
More Than My Hometown,Morgan Wallen,0,Morgan Wallen
Lovin' on You,Luke Combs,0,Luke Combs
Said Sum,Moneybagg Yo,0,Moneybagg Yo
Slide,H.E.R. ,1, YG
Walk Em Down,NLE Choppa ,1, Roddy Ricch
